addy,lon,lat
"(Home Delivery Services Only), St. George, UT",-113.5684164,37.0965278
"657 Blue Lakes Blvd N, Twin Falls, ID",-114.4616278,42.5732083
"810 S Main St Ste 7A, Hailey, ID",-114.3084096,43.5114053
"(Home Delivery Services Only), Idaho Falls, ID",-112.0407584,43.49266069999999
"(Home Delivery Services Only), Gunnison, UT",-111.8182582,39.1552391
"(Home Delivery Services Only), Hailey, ID",-114.3153245,43.51962880000001
"(Home Delivery Services Only), Logan, UT",-111.8338359,41.7369803
"(Home Delivery Services Only), Morgan, UT",-111.6768769,41.03605599999999
"(Home Delivery Services Only), Garden City, UT",-111.3935397,41.946878
"(Reference Toxicology Labs Only), Salt Lake City, UT",-111.8910474,40.7607793
"725 Jensen Grove, Blackfoot, ID",-112.3579966,43.20005949999999
"(Reference Lab Only), Minidoka, ID",-113.4902829,42.7537967
"455 ParkView Loop E, Twin Falls, ID",-114.4855079,42.5934843
"(Reference Toxicology Labs Only), Jerome, ID",-114.5186534,42.7240732
"10 W 400 S, Centerfield, UT",-111.8209697,39.1190405
"80 E 2000 N, Tooele, UT",-112.3007362,40.5662165
"(Home Delivery Services Only), Panguitch, UT",-112.4357638,37.82275509999999
"890 N 6th St, Mountain Home, ID",-115.6921367,43.1391993
"1141 E 3900 S Ste A160, Salt Lake City, UT",-111.8586307,40.6877145
"(Ostomy, Urology, Diabetic , Wound Care Only), Boise, ID",-116.2023137,43.6150186
"(Ostomy, Urology, Diabetic , Wound Care Only), Mount Pleasant, UT",-111.4554659,39.5469073
"1141 E 3900 S Ste A250, Salt Lake City, UT",-111.858224,40.6876402
"(Reference Lab Only), Hailey, ID",-114.3153245,43.51962880000001
"(Reference Lab Only), Idaho Falls, ID",-112.0407584,43.49266069999999
"(Reference Lab Only), Weiser, ID",-116.9693327,44.2509976
"110 W 1325 N Ste 175, Cedar City, UT",-113.0651884,37.7018781
"(Reference Lab Only), Twin Falls, ID",-114.4700518,42.5558381
"(Reference Genetic Lab Only), Twin Falls, ID",-114.4700518,42.5558381
"(Reference Genetic Lab Only), Grand View, ID",-116.0934305,42.98961389999999
"(Reference Genetic Lab Only), Weiser, ID",-116.9693327,44.2509976
"(Reference Laboratory Only), Preston, ID",-111.8766173,42.0963133
"(Reference Laboratory Only), Minidoka, ID",-113.4902829,42.7537967
"(Reference Lab Only), Council, ID",-116.4381985,44.7298876
"(Reference Lab Only), Burley, ID",-113.7927948,42.5357428
"980 Ironwood Dr Ste 103, Coeur d'Alene, ID",-116.7988764,47.6954225
"(Reference Lab Only), Provo, UT",-111.6585337,40.2338438
"2425 Channing Way, Idaho Falls, ID",-111.9899857,43.47635229999999
"117 Ash St, Bellevue, ID",-114.2625002,43.4702748
"1200 Hospital Way, Pocatello, ID",-112.4162368,42.8679897
"8405 W Emerald St, Boise, ID",-116.2865321,43.6108673
"2179 N 1700 W Ste 5, Layton, UT",-111.9977544,41.0917266
"1875 State St, Orem, UT",-111.6784625,40.2637127
"811 N Liberty St, Boise, ID",-116.2616449,43.6122891
"16151 N Brinson St, Nampa, ID",-116.5161299,43.6071721
"2025 E 17th St, Idaho Falls, ID",-111.9935505,43.482938
"1157 Call Pl, Pocatello, ID",-112.4364095,42.8951291
"91 N Main St, Cedar City, UT",-113.0621569,37.67906929999999
"1540 Elk Creek Dr, Idaho Falls, ID",-112.0035753,43.4650319
"1655 1St St, Idaho Falls, ID",-112.0004985,43.4971088
"556 West Sunnyside Rd, Idaho Falls, ID",-112.0443024,43.46888329999999
"660 South 200 East, Salt Lake City, UT",-111.8863889,40.754968
"845 W 200 N, Kaysville, UT",-111.9557127,41.0379627
"1181 Grier Dr Ste C, Las Vegas, NV",-115.1378387,36.0678411
"450 E Main St, Rexburg, ID",-111.7708743,43.8257766
"1474 N Meridian Rd, Kuna, ID",-116.3933724,43.501439
"620 South 400 East Ste 404, St. George, UT",-113.5755471,37.0976596
"8800 Fox Dr, Thornton, CO",-104.9935297,39.8570676
"1870 N Main St Ste 206, Cedar City, UT",-113.060828,37.711216
"871 Grier Dr, Las Vegas, NV",-115.1438002,36.068539
"210 27th Street Ste. B, Ogden, UT",-111.9757471,41.2167866
"1355 Ramar Rd Ste 11, Bullhead City, AZ",-114.5999687,35.115586
"8031 S 700 E, Sandy, UT",-111.8710648,40.6054467
"8530 S 500 W, Paradise, UT",-111.845804,41.576842
"4141 S Highland Dr, Holladay, UT",-111.8428571,40.6816483
"6352 Medical Center St, Las Vegas, NV",-115.2914334,36.0728449
"2800 E Desert Inn Rd Ste 150, Las Vegas, NV",-115.1123065,36.130773
"1109 E Myrtle St Ste 100, Boise, ID",-116.210925,43.61511300000001
"556 W Sunnyside Rd, Idaho Falls, ID",-112.0443024,43.46888329999999
"4000 S Eastern Ave, Las Vegas, NV",-115.1184232,36.1162426
"4760 Blue Diamond Rd, Las Vegas, NV",-115.2055433,36.0354226
"346 East 100 South, Salt Lake City, UT",-111.8832783,40.7669921
"174 East 4500 South, Salt Lake City, UT",-111.8863285,40.6734529
"360 Lola Ln, Pahrump, NV",-116.0248884,36.21458010000001
"7613 S Jordan Landing Blvd Ste 200, West Jordan, UT",-111.9842639,40.61305249999999
"1110 Wigwam Pkwy, Henderson, NV",-115.035014,36.0337088
"5648 S Adams Ave, Ogden, UT",-111.9687231,41.16095
"1858 W 5150 S, Roy, UT",-112.0241164,41.1706189
"2520 S Redwood Rd, West Valley City, UT",-111.9394556,40.7162995
"1480 Midway Ave Unit 7, Idaho Falls, ID",-111.9700482,43.4840039
"6000 S 1075 E, Ogden, UT",-111.9542394,41.1548872
"1000 South Main Street, Suite 105, Salt Lake City, UT",-111.8922932,40.747465
"1475 N Cole Rd, Boise, ID",-116.2746121,43.6180775
"5400 S. Rainbow Blvd, Las Vegas, NV",-115.2401806,36.090141
"870 Seven Hills Dr, Henderson, NV",-115.1224775,35.9963883
"1000 S 16th St Ste C, Payette, ID",-116.9239665,44.0637739
"502 N Kimball Pl, Boise, ID",-116.2972186,43.610441
"9310 Sun City Blvd Ste 103, Las Vegas, NV",-115.2979835,36.2117102
"5373 W Lake Park Blvd, West Valley City, UT",-112.0200213,40.7118982
"7979 W Rifleman St, Boise, ID",-116.2818071,43.6122399
"3723 W 12600 S Ste 420, Riverton, UT",-111.9801259,40.5202116
"4179 South Riverboat Road Ste 220, Taylorsville, UT",-111.9156895,40.678348
"5983 S Redwood Rd, Salt Lake City, UT",-111.9389111,40.6425
"6675 S Cimarron Rd, Las Vegas, NV",-115.2710134,36.0671721
"333 N 18th Ave Ste B4, Pocatello, ID",-112.4326885,42.8764413
"1000 State St, McCall, ID",-116.1101993,44.9090491
"8255 Las Vegas Blvd #1721, Las Vegas, NV",-115.1760955,36.0398518
"1729 Miller Ave, Burley, ID",-113.795493,42.5312437
"2102 Caldwell Blvd Ste 116, Nampa, ID",-116.60535900000001,43.6092546
"380 Walker Dr, Rexburg, ID",-111.7728925,43.8332148
"10770 S Las Vegas Blvd, Las Vegas, NV",-115.1717319,35.9941593
"3701 Wayzata Blvd Ste 300, Saint Louis Park, MN",-93.32671669999999,44.9687867
"1019 3rd Ave S, Payette, ID",-116.931165,44.07181
"700 W Ironwood Dr, Coeur d'Alene, ID",-116.7929694,47.69360959999999
"3706 W 9000 S, West Jordan, UT",-111.979443,40.58881
"7268 Bingham Junction Blvd, Midvale, UT",-111.9186798,40.6180263
"819 E Marketplace Dr, Spanish Fork, UT",-111.6401826,40.1307526
"1055 North 500 West Building C #112, Provo, UT",-111.6684015,40.2485618
"187 Lagoon St, Roosevelt, UT",-109.9946726,40.29892770000001
"537 E Brooks Ave Ste 407, Las Vegas, NV",-115.1335571,36.213336
"62 E Thrive Dr Ste 300, Saratoga Springs, UT",-111.9157942,40.3739505
"200 Precision Rd Ste 200, Horsham, PA",-75.1558211,40.1906422
"5020 E Tropicana Ave Ste B5, Las Vegas, NV",-115.0633264,36.1010948
"6021 W Cheyenne Ave, Las Vegas, NV",-115.2275418,36.2163105
"2544 Campbell Pl Ste 150, Rancho La Costa, CA",-117.262022,33.1291087
"495 Yellowstone Ave, Pocatello, ID",-112.4518633,42.88400679999999
"7017 Daisy Ln, Idaho Falls, ID",-112.1236204,43.4350641
"1001 S Hilton St, Boise, ID",-116.247151,43.5959375
"2961 W Maple Loop Dr Ste 220-B, Lehi, UT",-111.8968688,40.4316995
"850 E Lander St, Pocatello, ID",-112.4425775,42.8700267
"183 Vista Dr STE A, Pocatello, ID",-112.4246698,42.87904
"52 S 850 W Ste 202B, Hurricane, UT",-113.3051817,37.1755019
"2628 W Charleston Blvd St B, Las Vegas, NV",-115.1774334,36.1591594
"3918 N Schreiber Way Ste B, Coeur d'Alene, ID",-116.7980957,47.7143994
"23 Sawtelle Ave Ste 101, Rexburg, ID",-111.7924237,43.8231096
"3030 Lyndon B Johnson Fwy Ste 1525, Farmers Branch, TX",-96.876446,32.9112936
"1934 E Riverside Dr, St. George, UT",-113.541431,37.0899379
"3247 S Maryland Pkwy, Las Vegas, NV",-115.1382413,36.130586
"2841 W 11400 S, South Jordan, UT",-111.9610117,40.5438507
"652 S Medical Center Dr, St. George, UT",-113.5514167,37.0970556
"2830 S Redwood Rd Ste A, West Valley City, UT",-111.9396734,40.7093357
"388 SW Johnson Ave Ste 201, Burleson, TX",-97.3310233,32.5382684
"312 E Main, Emmett, ID",-116.4965691,43.87588460000001
"314 SW 3rd St, Fruitland, ID",-116.9173305,44.0086719
"1552 N Crestmont Dr Ste B, Meridian, ID",-116.3993669,43.6185635
"401 Gooding St N Ste 107, Twin Falls, ID",-114.4685044,42.5592102
"1835 Wildwood St, Boise, ID",-116.320622,43.621595
"900 N Liberty St Ste 300, Boise, ID",-116.2589881,43.613246
"1600 W Antelope Dr, Layton, UT",-111.9952858,41.0909079
"200 N 400 E, Panguitch, UT",-112.4279068,37.8258659
"355 N Main St, Kanab, UT",-112.5296312,37.054455
"6272 S Highland Dr, Murray, UT",-111.8347508,40.6374176
"383 W Vine St Ste 300, Murray, UT",-111.9020495,40.6595532
"1492 W Antelope Dr Ste 205, Layton, UT",-112.0548535,41.0894508
"1055 N 500 W Ste 222, Provo, UT",-111.6683346,40.2486358
"150 W 100 N, Vernal, UT",-109.5310091,40.4573865
"550 E 1400 N, Logan, UT",-111.8196426,41.756876
"3776 Wall Ave, Ogden, UT",-111.9789375,41.1943436
"385 N 3050 E, St. George, UT",-113.5211813,37.115198
"1355 W Hinckley Dr, Ogden, UT",-112.0129444,41.2022485
"275 N Main St, Randolph, UT",-111.1855055,41.6709258
"125 S 100 W, Tremonton, UT",-112.1671588,41.7103488
"48 W Young St, Morgan, UT",-111.6783228,41.0362481
"331 N 400 W, Orem, UT",-111.7055487,40.3033995
"1151 E 3900 S Ste B150, Holladay, UT",-111.8578816,40.6881701
"1030 S Bowling Alley Ln, Moab, UT",-109.5397825,38.5574409
"724 W 500 S Ste 300, West Bountiful, UT",-111.8995703,40.8847834
"2075 University Park Blvd, Layton, UT",-111.9886694,41.0904974
"9500 S 1300 E, Sandy, UT",-111.854157,40.5787074
"354 W Crossroads Blvd, Saratoga Springs, UT",-111.9250016,40.3881554
"2075 University Park Blvd (1200 W), Layton, UT",-111.9886694,41.0904974
"3723 W 12600 S Ste 150, Riverton, UT",-111.9801259,40.5202116
"1251 N Northfield Rd Ste 200, Cedar City, UT",-113.0684362,37.7082861
"248 W 300 N, Logan, UT",-111.8409258,41.7364299
"667 N 1890 W , Provo, UT",-111.6891635,40.242785
"575 E 1400 S, Orem, UT",-111.6816607,40.272041
"544 S 400 E, St. George, UT",-113.5761981,37.0990276
"5169 S Cottonwood St Ste 110, Murray, UT",-111.8916931,40.6590621
"54 N 800 W, Salt Lake City, UT",-111.9136367,40.7707201
"5169 S Cottonwood St Ste 640, Murray, UT",-111.8916931,40.6590621
"1060 E 100 S Ste L-7, Salt Lake City, UT",-111.8603053,40.7667888
"1100 N 400 E, Nephi, UT",-111.8271417,39.7243843
"822 E Main Ste 7, Grantsville, UT",-112.425234,40.5992852
"572 W 750 S Bldg B, Bountiful, UT",-111.8949126,40.8822454
"154 S Main St, Blanding, UT",-109.478364,37.6231077
"1001 N 500 W, Provo, UT",-111.6687199,40.246945
"Snowbasin Ski Resort, Huntsville, UT",-111.8614496,41.2006148
"6246 S Redwood Rd, Salt Lake City, UT",-111.939487,40.6377317
"1248 E 90 N Ste 202, American Fork, UT",-111.7652408,40.377763
"1340 E 300 N, Price, UT",-110.7915936,39.6045907
"110 W 1325 N Ste 100, Cedar City, UT",-113.0651884,37.7018781
"1355 N University Ave Ste 110, Provo, UT",-111.6592512,40.2524377
"1481 E 1450, Clearfield, UT",-111.9978941,41.0939864
"5495 S 500 E Ste 120, Ogden, UT",-111.9705021,41.1632597
